state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases,geocoded_state
HI,,,state,2020/05/18,Manufacturing,start,"Policy_Details: Open with adjusted ""Safe Practices""   Source information: https://governor.hawaii.gov/wp-content/uploads/2020/05/2005088-ATG_Eighth-Supplementary-Proclamation-for-COVID-19-distribution-signed.pdf",sip_submission_form: https://governor.hawaii.gov/wp-content/uploads/2020/05/2005088-ATG_Eighth-Supplementary-Proclamation-for-COVID-19-distribution-signed.pdf,,POINT (-157.854309 21.361013)
TX,Kinney,48271,county,2020/07/03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and","sip_submission_form: https://tdem.texas.gov/ga29/, and",,POINT (-99.317341 31.447238)
ID,Custer,16037,county,2020/10/27,Phase 3,start,"Policy_Details: No greater than 50 people at indoor venues. Outdoor venues must operate at 25% capacity and follow guidelines. Guidelines include mask wearing, physical distancing, and frequent sanitation. Polling, educational activity, and religious activity are exempt from the gathering limits. Eastern District Health recommends staying home if sick and frequent sanitation for both individuals and businesses.   Source information: https://coronavirus.idaho.gov/wp-content/uploads/2020/10/stay-healthy-order-stage3_2020oct27.pdf",sip_submission_form: https://coronavirus.idaho.gov/wp-content/uploads/2020/10/stay-healthy-order-stage3_2020oct27.pdf,4,POINT (-114.659366 44.389073)
UT,Wayne,49055,county,2020/11/24,Phase 1,start,Policy_Details: Restrictions for highest level of transmission   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/,sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
IL,Ford,17053,county,2021/01/15,Food and Drink,start,Policy_Details: Bars and restaurants: Open with capacity limits and IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
TX,Borden,48033,county,2020/07/03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and","sip_submission_form: https://tdem.texas.gov/ga29/, and",,POINT (-99.317341 31.447238)
ME,York,23031,county,2020/06/01,Food and Drink,start,"Policy_Details: restaurants in York County tentatively scheduled to open for dine-in on June 1 (stage 2), now restricted to outdoor dining, take-away, & delivery only Phase Level: 2, Phase Details Source information: https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27",sip_submission_form: https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27,3,POINT (-69.06137 45.117911)
CT,,,state,2020/06/02,Day Care,start,"Policy_Details: child care resumes (50 children/facility)  Phase Level: 1, Phase Details Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7VV.pdf",sip_submission_form: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7VV.pdf,3,POINT (-72.738288 41.575155)
ND,Renville,38075,county,2020/09/03,Childcare (K-12),start,"Policy_Details: - Operate under heightened hygiene & cleaning standards.
- Monitor children and employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5,POINT (-100.46931 47.446305)
IL,Monroe,17133,county,2020/08/18,Entertainment,start,"Policy_Details: meetings & social events are limited to 25 people or 25% room capacity (attendance lists must be kept for contact tracing, party buses are prohibited); gaming venues and casinos are limited to 25% capacity and must close at 11:00 pm.    Source information: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-51.aspx",sip_submission_form: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-51.aspx,,POINT (-89.148632 40.124144)
