,title,media,date,datetime,desc,link,img
0,"Data, doubts and disputes: A timeline of AstraZeneca's Covid vaccine problems",CNBC,"Mar 25, 2021",2021-03-25,"Covid vaccinator, Petra Moinar, prepares syringes with the AstraZeneca 
vaccine before it is administered at Battersea Arts Centre on March 8, 2021 
in London,...",https://www.cnbc.com/2021/03/25/astrazeneca-covid-vaccine-all-the-issues-and-problems-the-shot-has-faced.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,Investigational AstraZeneca vaccine prevents COVID-19,National Institutes of Health (NIH),"Mar 22, 2021",2021-03-22,"Results from a large clinical trial in the United States and South America 
indicate that AstraZeneca's COVID-19 vaccine, AZD1222, is well-tolerated 
and...",https://www.nih.gov/news-events/news-releases/investigational-astrazeneca-vaccine-prevents-covid-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,"AstraZeneca COVID Vaccine Prevents Symptomatic, Severe ...",University of Rochester Medical Center,"Mar 22, 2021",2021-03-22,"Results confirm that the vaccine is safe and highly effective at preventing 
symptomatic and severe COVID infections. The trial, which included over 
34,000...",https://www.urmc.rochester.edu/news/story/astrazeneca-covid-vaccine-is-100-effective-at-preventing-severe-disease,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,How The White House Got 2 Pharma Rivals To Work Together ...,NPR,"Mar 3, 2021",2021-03-03,"By the end of May, there should be enough vaccine doses for every adult in 
America, ... of COVID-19 that could make the existing vaccines less 
effective.",https://www.npr.org/2021/03/03/973117712/how-the-white-house-got-2-pharma-foes-to-work-together-on-covid-19-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Inside the Pfizer/BioNTech COVID-19 vaccine trial: 'We knew ...,BioPharma Reporter,"Mar 3, 2021",2021-03-03,"The 2020 Pfizer/BioNTech COVID-19 vaccine trial recruited more than 44,000 
participants and reached submission for emergency authorization in 248 
days:...",https://www.biopharma-reporter.com/Article/2021/03/03/Inside-the-Pfizer-BioNTech-COVID-19-vaccine-trial-Insights-on-speed-agility-and-digital-development,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Why Two Doses of COVID-19 Vaccine for Pfizer and Moderna?,Healthline,"Mar 5, 2021",2021-03-05,"The entire immunity process typically takes around 2 weeks after the second 
dose of vaccine. That's why you can still contract the new coronavirus and 
become...",https://www.healthline.com/health/why-two-doses-of-covid-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,European nations resume use of AstraZeneca Covid vaccine after regulator signs off,CNBC,"Mar 18, 2021",2021-03-18,"LONDON — The European Medicines Agency has ruled that the AstraZeneca 
coronavirus vaccine is safe and effective, despite some concerns over 
possible side...",https://www.cnbc.com/2021/03/18/ema-approves-astrazeneca-covid-vaccine-after-blood-clot-reports.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,Governor Cuomo Signs Legislation Granting Employees Time ...,Governor Kathy Hochul,"Mar 12, 2021",2021-03-12,"Governor Andrew M. Cuomo today signed legislation (S.2588-A/A.3354-B) 
granting public and private employees time off to receive the COVID-19 
vaccination.",https://www.governor.ny.gov/news/governor-cuomo-signs-legislation-granting-employees-time-receive-covid-19-vaccination,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,Governor Cuomo Announces New Yorkers 30 Years of Age ...,Governor Kathy Hochul,"Mar 29, 2021",2021-03-29,"Governor Andrew M. Cuomo today announced a new expansion of COVID-19 
vaccine eligibility in New York. Beginning Tuesday, March 30 at 8 a.m., all 
New Yorkers...",https://www.governor.ny.gov/news/governor-cuomo-announces-new-yorkers-30-years-age-and-older-will-be-eligible-receive-covid-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,"COVID vaccine side effects: Women, young people report more",TODAY,"Mar 22, 2021",2021-03-22,"These 3 groups reportedly experience more COVID-19 vaccination side effects 
... As the coronavirus vaccine rollout continues around the country, some 
groups...",https://www.today.com/health/covid-vaccine-side-effects-women-young-people-report-more-t212334,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
