,title,media,date,datetime,desc,link,img
0,What you need to know about President Joe Biden's new Covid vaccine mandates,CNBC,"Sep 10, 2021",2021-09-10,"What you need to know about President Joe Biden's new Covid vaccine 
mandates ... by his administration to get the raging coronavirus pandemic 
under control.",https://www.cnbc.com/2021/09/10/what-you-need-to-know-about-president-joe-bidens-new-vaccine-mandates.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,Biden plans COVID vaccine mandate for 80 million private ...,Axios,"Sep 9, 2021",2021-09-09,"More than 80 million Americans working in the private sector will be 
required to receive a COVID-19 vaccine or produce a negative test result at 
least once...",https://www.axios.com/2021/09/09/covid-pandemic-response-plan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,White House Plan Calls For Vaccines Or Testing For Millions,NPR,"Sep 9, 2021",2021-09-09,"Among the other steps, Biden also announced that federal workers and 
contractors will be required to be vaccinated for COVID-19, eliminating an 
option laid...",https://www.npr.org/2021/09/09/1035149651/biden-will-require-vaccines-for-federal-workers-as-part-of-a-new-covid-strategy,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,COVID Vaccine and Kids: The Potential Schedule for Children Under 12,NBC Chicago,"Sep 21, 2021",2021-09-21,"Pfizer says it's ready to seek approval from the FDA to give its 
coronavirus vaccine to kids ages 5-to-11, and Chicago area doctors are 
hailing that news as an...",https://www.nbcchicago.com/news/local/covid-vaccine-and-kids-the-potential-schedule-for-children-under-12/2618409/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Advisory committee recommends wide swath of Americans be ...,Stat News,"Sep 23, 2021",2021-09-23,"A vaccine advisory panel voted Thursday to recommend that a wide swath of 
Americans should be offered Covid-19 vaccine booster shots, given at least 
six...",https://www.statnews.com/2021/09/23/covid19-vaccine-boosters-cdc-acip/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,Pressure Grows on U.S. Companies to Share Covid Vaccine Technology,The New York Times,"Sep 23, 2021",2021-09-23,"Pressure is growing on American drug companies — particularly Moderna, the 
upstart biotech firm that developed its coronavirus vaccine with billions 
of...",https://www.nytimes.com/2021/09/22/us/politics/covid-vaccine-moderna-global.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Pfizer Says Its COVID Vaccine Works In Kids Ages 5 To 11 ...,NPR,"Sep 20, 2021",2021-09-20,"The first results from the highly anticipated trial studying the 
effectiveness and safety of the Pfizer and BioNTech COVID-19 vaccine for 
children ages 5 to...",https://www.npr.org/sections/coronavirus-live-updates/2021/09/20/1038832951/pfizer-and-biontech-vaccine-trials-for-kids-show-the-shots-are-safe-and-effectiv,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,COVID Vaccine and Kids: The Latest on Timing as Pfizer Submits Trial Data,NBC Chicago,"Sep 28, 2021",2021-09-28,"The move is a key step toward beginning vaccinations for youngsters, but 
authorization for COVID vaccines in kids under 12 is likely still weeks 
away...",https://www.nbcchicago.com/news/local/covid-vaccine-and-kids-the-latest-on-timing-as-pfizer-submits-trial-data/2623526/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,State of New Mexico Offers Guidance on Pfizer COVID-19 ...,NMDOH,"Sep 27, 2021",2021-09-27,"SANTA FE – On Monday, the New Mexico Department of Health (DOH) offered 
guidance on Pfizer COVID-19 vaccine booster distribution, following a 
series of...",https://cv.nmhealth.org/2021/09/27/state-of-new-mexico-offers-guidance-on-pfizer-covid-19-vaccine-booster-doses/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Who will be able to get a COVID-19 booster shot and when? That's still in limbo.,USA Today,"Sep 13, 2021",2021-09-13,"In just a week, COVID-19 vaccine boosters could begin to be available to 
all fully vaccinated Americans. But exactly who will be eligible and when 
won't be...",https://www.usatoday.com/story/news/2021/09/13/covid-19-vaccine-booster-shots-who-can-get-them-when-still-uncertain/5773405001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
