claim,fact-check agency,time,orginated,label,poynter_url
The current coronavirus outbreak is due to the movement toward 5G.,BOOM FactCheck,2020/03/28 ,India,False,https://www.poynter.org/?ifcn_misinformation=the-current-coronavirus-outbreak-is-due-to-the-movement-toward-5g
5G is the cause of the coronavirus pandemic.,Faktograf,2020/03/27 ,Croatia,False,https://www.poynter.org/?ifcn_misinformation=5g-is-the-cause-of-the-coronavirus-pandemic
Illuminati controlled U.S. government; coronavirus caused by 5G.,LeadStories,2020/03/26 ,United States,False,https://www.poynter.org/?ifcn_misinformation=illuminati-controlled-u-s-government-coronavirus-caused-by-5g
President Trump did sign a 5G bill but exposure effects are misleading.,LeadStories,2020/03/26 ,United States,False,https://www.poynter.org/?ifcn_misinformation=president-trump-did-sign-a-5g-bill-but-exposure-effects-are-misleading
Numerous conspiracy theories shared on and off social media claim that 5G mobile networks are the cause of the novel coronavirus pandemic.,AFP,2020/03/26 ,Nigeria,False,https://www.poynter.org/?ifcn_misinformation=numerous-conspiracy-theories-shared-on-and-off-social-media-claim-that-5g-mobile-networks-are-the-cause-of-the-novel-coronavirus-pandemic
"In Hong Kong, people destroyed a 5G pole because of coronavirus.",Correctiv,2020/03/24 ,Germany,False,https://www.poynter.org/?ifcn_misinformation=in-hong-kong-people-destroyed-a-5g-pole-because-of-coronavirus
"You should take high doses of Vitamin D against COVID-19; children don’t get sick because they lack the receptors for the virus to bond; the coronavirus is an unnatural mutation; it is not susceptible to temperatures, which is why infections will not sink in summer; the oldest patients will not be treated and left to die; 5G harms the immune system.",Correctiv,2020/03/23 ,Germany,Mostly false,https://www.poynter.org/?ifcn_misinformation=you-should-take-high-doses-of-vitamin-d-against-covid-19-children-dont-get-sick-because-they-lack-the-receptors-for-the-virus-to-bond-the-coronavirus-is-an-unnatural-mutation-it-is-not-susceptible
Polish telecommunications provider PLAY has installed 5G antennas during quarantine.,Demagog,2020/03/22 ,Poland,False,https://www.poynter.org/?ifcn_misinformation=polish-telecommunications-provider-play-has-installed-5g-antennas-during-quarantine
Polish telecommunications provider PLAY has installed 5G antennas during quarantine.,Demagog,2020/03/22 ,Poland,False,https://www.poynter.org/?ifcn_misinformation=polish-telecommunications-provider-play-has-installed-5g-antennas-during-quarantine-2
One Polish telecommunications company used the quarantine as a cover up to put 100 5G antennas in Gdynia.,Demagog,2020/03/22 ,Poland,False,https://www.poynter.org/?ifcn_misinformation=one-polish-telecommunications-company-used-the-quarantine-as-a-cover-up-to-put-100-5g-antennas-in-gdynia
Coronavirus cases linked to 5G rollout.,LeadStories,2020/03/21 ,United States,False,https://www.poynter.org/?ifcn_misinformation=coronavirus-cases-linked-to-5g-rollout
Claim that the outbreak of the virus was caused by 5G.,15min.lt,2020/03/20 ,Lithuania,False,https://www.poynter.org/?ifcn_misinformation=claim-that-the-outbreak-of-the-virus-was-caused-by-5g
Coronavirus is an illusion and the cause of COVID-19 is the 5G signal.,Fatabyyano,2020/03/20 ,"Middle East, North Africa",False,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-an-illusion-and-the-cause-of-covid-19-is-the-5g-signal
5G technology caused the coronavirus.,LeadStories,2020/03/19 ,United States,False,https://www.poynter.org/?ifcn_misinformation=5g-technology-caused-the-coronavirus
5G technology caused the coronavirus.,LeadStories,2020/03/19 ,United States,False,https://www.poynter.org/?ifcn_misinformation=5g-technology-caused-the-coronavirus-2
