claim,fact-check agency,time,orginated,label,poynter_url
"Bill Gates, Melinda Gates, Anthony Fauci and the WHO are being charged with genocide.",TheJournal.ie,2020/05/29 ,Ireland,FALSE,https://www.poynter.org/?ifcn_misinformation=bill-gates-melinda-gates-anthony-fauci-and-the-who-are-being-charged-with-genocide
"An Instagram post claims Microsoft founder Bill Gates said up to 700,000 people could die from a COVID-19 vaccine.",AAP FactCheck,2020/05/28 ,Australia,FALSE,https://www.poynter.org/?ifcn_misinformation=an-instagram-post-claims-microsoft-founder-bill-gates-said-up-to-700000-people-could-die-from-a-covid-19-vaccine
"The number of COVID-19 deaths in Ceará state, Brazil, fell by 90% after an operation by the federal police to investigate frauds with the death toll.",Agência Lupa,2020/05/28 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=the-number-of-covid-19-deaths-in-ceara-state-brazil-fell-by-90-after-an-operation-by-the-federal-police-to-investigate-frauds-with-the-death-toll
"According to an Italian MP, Bill Gates had millions of women in Africa sterilized and “caused” a polio epidemic that paralyzed 500,000 children in India.",Poligrafo,2020/05/27 ,Portugal,FALSE,https://www.poynter.org/?ifcn_misinformation=according-to-an-italian-mp-bill-gates-had-millions-of-women-in-africa-sterilized-and-caused-a-polio-epidemic-that-paralyzed-500000-children-in-india
The Gates Foundation wall has a sign of “center for the global reduction of the human population”.,Newtral.es,2020/05/27 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=the-gates-foundation-wall-has-a-sign-of-center-for-the-global-reduction-of-the-human-population
"During the quarantine, the Black Pope died, Bill Gates was arrested, Benjamin Netanyahu was convicted of spreading the coronavirus, and Vladimir Putin and the FSB are arresting governors.",Factcheck.kz,2020/05/27 ,"Russia, Kazakhstan",FALSE,https://www.poynter.org/?ifcn_misinformation=during-the-quarantine-the-black-pope-died-bill-gates-was-arrested-benjamin-netanyahu-was-convicted-of-spreading-the-coronavirus-and-vladimir-putin-and-the-fsb-are-arresting-governors
Bill Gates said ‘thousands of people will die with the COVID-19 vaccine’,Colombiacheck,2020/05/27 ,"Colombia, United States",FALSE,https://www.poynter.org/?ifcn_misinformation=bill-gates-said-thousands-of-people-will-die-with-the-covid-19-vaccine
Italy wants to charge Bill Gates with crimes against humanity.,TheJournal.ie,2020/05/26 ,"Ireland, Italy",FALSE,https://www.poynter.org/?ifcn_misinformation=italy-wants-to-charge-bill-gates-with-crimes-against-humanity
"The world’s richest people, especially Bill Gates, have made money on the pandemic.",VoxCheck,2020/05/25 ,Ukraine,No evidence,https://www.poynter.org/?ifcn_misinformation=the-worlds-richest-people-especially-bill-gates-have-made-money-on-the-pandemic
People in USA march and call for the arrest of Bill Gates.,Newschecker,2020/05/23 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=people-in-usa-march-and-call-for-the-arrest-of-bill-gates-2
People in USA march and call for the arrest of Bill Gates.,Newschecker,2020/05/23 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=people-in-usa-march-and-call-for-the-arrest-of-bill-gates
Bill Gates and Anthony Fauci seen walking in close proximity without mask during the coronavirus pendemic.,Vishvas News,2020/05/21 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=bill-gates-and-anthony-fauci-seen-walking-in-close-proximity-without-mask-during-the-coronavirus-pendemic
The COVID-19 pandemic “was set up in a meeting” in 2019 sponsored by the Bill & Melinda Gates Foundation.,Poligrafo,2020/05/21 ,Portugal,FALSE,https://www.poynter.org/?ifcn_misinformation=the-covid-19-pandemic-was-set-up-in-a-meeting-in-2019-sponsored-by-the-bill-melinda-gates-foundation
There is nothing called “coronavirus” and it is just a hoax to pass Bill Gates’s vaccine.,Fatabyyano,2020/05/21 ,"Lebanon, Saudi Arabia",FALSE,https://www.poynter.org/?ifcn_misinformation=there-is-nothing-called-coronavirus-and-it-is-just-a-hoax-to-pass-bill-gatess-vaccine
The COVID-19 pandemic “was combined at a meeting” in 2019 sponsored by the Bill & Melinda Gates Foundation.,Poligrafo,2020/05/21 ,Portugal,FALSE,https://www.poynter.org/?ifcn_misinformation=the-covid-19-pandemic-was-combined-at-a-meeting-in-2019-sponsored-by-the-bill-melinda-gates-foundation
