claim,fact-check agency,time,orginated,label,poynter_url
The government is falsely passing off flu cases as COVID-19.,AFP,2020/10/28 ,Canada,FALSE,https://www.poynter.org/?ifcn_misinformation=the-government-is-falsely-passing-off-flu-cases-as-covid-19
A representative of the group “Doctors for the thruth” named María José Martínez Albarracín says in a video that the flu vaccine helps spread serious cases of COVID-19.,Maldita.es,2020/10/27 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=a-representative-of-the-group-doctors-for-the-thruth-named-maria-jose-martinez-albarracin-says-in-a-video-that-the-flu-vaccine-helps-spread-serious-cases-of-covid-19
"In Sweden there are no death cases anymore although they didn’t have a lockdown, mandatory masks or other restrictions",Correctiv,2020/10/26 ,"Germany, Sweden",Missing context,https://www.poynter.org/?ifcn_misinformation=in-sweden-there-are-no-death-cases-anymore-although-they-didnt-have-a-lockdown-mandatory-masks-or-other-restrictions
Staged epidemic – Cases of the disease are known only from the media and from stories. The death toll remains unchanged. People are more afraid of fines (…),Vistinomer,2020/10/22 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=staged-epidemic-cases-of-the-disease-are-known-only-from-the-media-and-from-stories-the-death-toll-remains-unchanged-people-are-more-afraid-of-fines
Hardheaded Filipinos are to blame for the cases of coronavirus disease 2019 (COVID-19) in the country.,VERA Files,2020/10/20 ,Philippines,No evidence,https://www.poynter.org/?ifcn_misinformation=hardheaded-filipinos-are-to-blame-for-the-cases-of-coronavirus-disease-2019-covid-19-in-the-country
Fewer flu cases being recorded this year because these cases are being diagnosed as COVID-19,Science Feedback,2020/10/19 ,United States,No evidence,https://www.poynter.org/?ifcn_misinformation=fewer-flu-cases-being-recorded-this-year-because-these-cases-are-being-diagnosed-as-covid-19
Servus TV,Correctiv,2020/10/16 ,"Germany, Austria",Missing context,https://www.poynter.org/?ifcn_misinformation=servus-tv-to-calculate-the-coronavirus-cases-of-the-last-7-days-per-100-000-inhabitants-is-a-manipulation-of-statistics-for-smaller-counties
"When the quarantines were mandatory, we suffered 3 to 4 days of detention …. Now they move on to another strategy. The number of patients is increasing enormously, and each of the confirmed cases has been in contact with at least 10 people, who will have 14 days of self-isolation- custody. The moment 300 patients are registered, another 3,000 are automatically quarantined for 14 days. So in a week, half the country will be in self-isolation for 14 days.",Vistinomer,2020/10/14 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=when-the-quarantines-were-mandatory-we-suffered-3-to-4-days-of-detention-now-they-move-on-to-another-strategy-the-number-of-patients-is-increasing-enormously-and-each-of-the-confirmed-cases-ha
A viral social media post claimed,Vistinomer,2020/10/06 ,North Macedonia,Partially false,https://www.poynter.org/?ifcn_misinformation=a-viral-social-media-post-claimed-in-the-rest-of-the-world-everything-is-back-to-normal-and-they-will-create-for-us-a-new-normal-a-new-reality-that-we-will-have-to-accept-an-example-for-this-clai
"Epidemiologist Fernando Simón appears without a mask, at a time when new coronavirus cases are back on grow in the country.",AFP,2020/10/06 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=epidemiologist-fernando-simon-appears-without-a-mask-at-a-time-when-new-coronavirus-cases-are-back-on-grow-in-the-country
"A Georgian doctor states that COVID-19 is less lethal than influenza virus, statistical data on increased COVID-19 cases are not reliable and asymptomatic patients do not actually exist.",Myth Detector,2020/10/06 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=a-georgian-doctor-states-that-covid-19-is-less-lethal-than-influenza-virus-statistical-data-on-increased-covid-19-cases-are-not-reliable-and-asymptomatic-patients-do-not-actually-exist
A video says that two 13 years old children died in Germany because they wore facemasks. Other social posts and a video says there is a third case of a 6 years old girl who died due to the wearing a facemask.,Maldita.es,2020/10/02 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=a-video-says-that-two-13-years-old-children-died-in-germany-because-they-wore-facemasks-other-social-posts-and-a-video-says-there-is-a-third-case-of-a-6-years-old-girl-who-died-due-to-the-wearing-a-f
The statement from a former COVID-19 skeptic who supposedly changed his mind after he was hospitalised in an ICU as a COVID-19 case are staged. This is evident by the fact that he is not intubated.,Ellinika Hoaxes,2020/09/29 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=the-statement-from-a-former-covid-19-skeptic-who-supposedly-changed-his-mind-after-he-was-hospitalised-in-an-icu-as-a-covid-19-case-are-staged-this-is-evident-by-the-fact-that-he-is-not-intubated
"More than 60% of the municipalities in Catalonia exceed the limit of 500 COVID-19 cases per 100,000 inhabitants",Maldita.es,2020/09/29 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=more-than-60-of-the-municipalities-in-catalonia-exceed-the-limit-of-500-covid-19-cases-per-100000-inhabitants
In Africa there is not a single case of COVID-19. The global elit is already exploiting people in Africa and do not need to use the pandemic propaganda to intimidate them.,Ellinika Hoaxes,2020/09/27 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=in-africa-there-is-not-a-single-case-of-covid-19-the-global-elit-is-already-exploiting-people-in-africa-and-do-not-need-to-use-the-pandemic-propaganda-to-intimidate-them
