claim,fact-check agency,time,orginated,label,poynter_url
Covid-19 vaccines and face masks are unsafe; that several official facts about Covid-19 are wrong; that Covid-19 does not spread as easily as official sources state; and that lockdowns will cause everyone to die an early death.,TheJournal.ie,2020/12/29 ,Ireland,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-vaccines-and-face-masks-are-unsafe-that-several-official-facts-about-covid-19-are-wrong-that-covid-19-does-not-spread-as-easily-as-official-sources-state-and-that-lockdowns-will-cause-ever
The FDA listed ‘death’ among the possible adverse event outcomes it is monitoring for during its safety surveillance of COVID-19 vaccines.,AAP FactCheck,2020/12/29 ,"Australia, New Zealand",Missing Context,https://www.poynter.org/?ifcn_misinformation=the-fda-listed-death-among-the-possible-adverse-event-outcomes-it-is-monitoring-for-during-its-safety-surveillance-of-covid-19-vaccines
"The Covid pandemic is a plan to depopulate all of humanity on the planet, through a fictional virus, deadly, through bribed media, through bribed governments, with one basic goal – to achieve the goal of World War III, and that is the absolute control of every human being on the planet.",Vistinomer,2020/12/25 ,North Macedonia,FALSE,https://www.poynter.org/?ifcn_misinformation=the-covid-pandemic-is-a-plan-to-depopulate-all-of-humanity-on-the-planet-through-a-fictional-virus-deadly-through-bribed-media-through-bribed-governments-with-one-basic-goal-to-achieve-the-goal
The risk of death from COVID-19 is lower than the risk of side effects from the vaccine.,VoxCheck,2020/12/24 ,Ukraine,MISLEADING,https://www.poynter.org/?ifcn_misinformation=the-risk-of-death-from-covid-19-is-lower-than-the-risk-of-side-effects-from-the-vaccine
Instagram users claim that the family of nurse Tiffany Dover have confirmed her death and created a memorial IG profile,Maldita.es,2020/12/24 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=instagram-users-claim-that-the-family-of-nurse-tiffany-dover-have-confirmed-her-death-and-created-a-memorial-ig-profile
"1,000 deaths discovered after vaccination against COVID-19 in England",Newtral.es,2020/12/24 ,"Spain, United Kingdom",FALSE,https://www.poynter.org/?ifcn_misinformation=1000-deaths-discovered-after-vaccination-against-covid-19-in-england
PragerU video claims that only 0.056% of the U.S. population has died from COVID-19; “only 6% of COVID-19 deaths were caused by COVID-19 alone”,Science Feedback,2020/12/23 ,United States,Misleading,https://www.poynter.org/?ifcn_misinformation=prageru-video-claims-that-only-0-056-of-the-u-s-population-has-died-from-covid-19-only-6-of-covid-19-deaths-were-caused-by-covid-19-alone
US nurse who fainted after COVID-19 vaccine shot is actually dead,FactCheck Georgia,2020/12/22 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=us-nurse-who-fainted-after-covid-19-vaccine-shot-is-actually-dead
The deaths of trial participants for Pfizer Inc.’s COVID-19 vaccine was an effect of the vaccine.,VERA Files,2020/12/22 ,Philippines,MISLEADING,https://www.poynter.org/?ifcn_misinformation=the-deaths-of-trial-participants-for-pfizer-inc-s-covid-19-vaccine-was-an-effect-of-the-vaccine
An image says that 1000 people vaccinated with COVID were discovered dead in England,Maldita.es,2020/12/22 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=an-image-says-that-1000-people-vaccinated-with-covid-were-discovered-dead-in-england
"American nurse Tiffany Dover who passed out minutes after receiving coronavirus vaccine on December 17 is dead, confirms the data from the American webpage SearchQuarry, which shows that the death certificate of 30 years old Tiffany Dover living in Alabama is ready",Myth Detector,2020/12/22 ,"Georgia, United States",FALSE,https://www.poynter.org/?ifcn_misinformation=american-nurse-tiffany-dover-who-passed-out-minutes-after-receiving-coronavirus-vaccine-on-december-17-is-dead-confirms-the-data-from-the-american-webpage-searchquarry-which-shows-that-the-death-cer
"Post in FB and Twitter say that nurse Tiffany Dover, who passed out after receiving the vaccine, is dead.",Maldita.es,2020/12/21 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=post-in-fb-and-twitter-say-that-nurse-tiffany-dover-who-passed-out-after-receiving-the-vaccine-is-dead
Ibuprofen prevents deaths from covid.,La Silla Vacía,2020/12/18 ,Colombia,FALSE,https://www.poynter.org/?ifcn_misinformation=ibuprofen-prevents-deaths-from-covid
On the official FDA website we can find the recorded side effects of the COVID-19 vaccines. Amongst them is death.,Ellinika Hoaxes,2020/12/18 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=on-the-official-fda-website-we-can-find-the-recorded-side-effects-of-the-covid-19-vaccines-amongst-them-is-death
"The FDA has admitted that the vaccine causes adverse effects such as heart attack, seizure, thrombus and even death",Newtral.es,2020/12/17 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=the-fda-has-admitted-that-the-vaccine-causes-adverse-effects-such-as-heart-attack-seizure-thrombus-and-even-death
