claim,fact-check agency,time,orginated,label,poynter_url
Dr. Li Wenliang (the Chinese whistleblower doctor) has proposed that drinking tea can cure COVID-19.,Factly,2020/04/09 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=dr-li-wenliang-the-chinese-whistleblower-doctor-has-proposed-that-drinking-tea-can-cure-covid-19
Researchers developed a drug that can cure COVID-19 in 3 days.,Ellinika Hoaxes,2020/04/09 ,Greece,FALSE,https://www.poynter.org/?ifcn_misinformation=researchers-developed-a-drug-that-can-cure-covid-19-in-3-days
"Social media posts recommend tonic water and zinc as a cure for a novel coronavirus infection, as the drink contains quinine, whose synthetic relative hydroxychloroquine is on trial as a COVID-19 treatment.",AFP,2020/04/09 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=social-media-posts-recommend-tonic-water-and-zinc-as-a-cure-for-a-novel-coronavirus-infection-as-the-drink-contains-quinine-whose-synthetic-relative-hydroxychloroquine-is-on-trial-as-a-covid-19-trea
"A man called Antonio Carlos, 67 years old, has just been cured of COVID-19 by using chloroquine. He was released from Unimed Hospital, in Rio de Janeiro (Brazil).",Agência Lupa,2020/04/09 ,Brazil,False,https://www.poynter.org/?ifcn_misinformation=a-man-called-antonio-carlos-67-years-old-has-just-been-cured-of-covid-19-by-using-chloroquine-he-was-released-from-unimed-hospital-in-rio-de-janeiro-brazil
Multiple Facebook posts claim an anti-viral injection that was being developed in the Philippines in April 2020 is a cure for COVID-19.,AFP,2020/04/08 ,Philippines,Misleading,https://www.poynter.org/?ifcn_misinformation=multiple-facebook-posts-claim-an-anti-viral-injection-that-was-being-developed-in-the-philippines-in-april-2020-is-a-cure-for-covid-19
Chlorine dioxide cures COVID-19.,Bolivia Verifica,2020/04/08 ,"Bolivia, Spain",False,https://www.poynter.org/?ifcn_misinformation=chlorine-dioxide-cures-covid-19-2
Australian researchers discovered the cure for coronavirus,Estadão Verifica,2020/04/08 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=australian-researchers-discovered-the-cure-for-coronavirus-a-antiparasitic-medicine-called-ivermectin
Green tea can cure COVID-19.,FactCrescendo,2020/04/08 ,Myanmar,False,https://www.poynter.org/?ifcn_misinformation=green-tea-can-cure-covid-19
Israel does not have COVID-19 deaths thanks to a cure made of baking soda with lemon.,Verificado,2020/04/08 ,Mexico,FALSE,https://www.poynter.org/?ifcn_misinformation=israel-does-not-have-covid-19-deaths-thanks-to-a-cure-made-of-baking-soda-with-lemon
"MMS, essential oils are cures for the coronavirus.",Maldita.es,2020/04/08 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=mms-essential-oils-are-cures-for-the-coronavirus
This protein is a cure against COVID-19,Verificado,2020/04/07 ,Mexico,Misleading,https://www.poynter.org/?ifcn_misinformation=this-protein-is-a-cure-against-covid-19
"Cuban recommends aspirin, honey and lemon to cure COVID-19.",Animal Político,2020/04/07 ,"Mexico, Mexico",False,https://www.poynter.org/?ifcn_misinformation=cuban-recommends-aspirin-honey-and-lemon-to-cure-covid-19
Prince Charles of Wales has been cured of the coronavirus using homeopathy.,Maldita.es,2020/04/07 ,Spain,False,https://www.poynter.org/?ifcn_misinformation=prince-charles-of-wales-has-been-cured-of-the-coronavirus-using-homeopathy
Inhaling a mixture of peppermint oil and clove oil cure COVID-19,Fatabyyano,2020/04/07 ,Algeria,FALSE,https://www.poynter.org/?ifcn_misinformation=inhaling-a-mixture-of-peppermint-oil-and-clove-oil-cure-covid-19
Sun and air can cure coronavirus.,Demagog,2020/04/06 ,Poland,False,https://www.poynter.org/?ifcn_misinformation=sun-and-air-can-cure-coronavirus
