claim,fact-check agency,time,orginated,label,poynter_url
Georgia received AstraZeneca vaccine that was rejected by Lithuania.,Myth Detector,2021/03/24 ,"Georgia, Lithuania",FALSE,https://www.poynter.org/?ifcn_misinformation=georgia-received-astrazeneca-vaccine-that-was-rejected-by-lithuania
WHO recognized that the AstraZeneca vaccine causes thrombosis.,VoxCheck,2021/03/24 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=who-recognized-that-the-astrazeneca-vaccine-causes-thrombosis
Vaccination forecast for Covid source,Agência Lupa,2021/03/24 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=vaccination-forecast-for-covidsource-ministry-of-health-69-to-71-years-03-2768-to-66-years-04-0465-to-63-years-12-0426-to-24-years-07-2423-to-21-years-08-0120-to
Pfizer CEO refuses to take COVID-19 vaccine.,FactCheck.org,2021/03/24 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=pfizer-ceo-refuses-to-take-covid-19-vaccine-2
"COVID-19 vaccine will transform human into GMO and “walking cellphone”, – fakes from Kerry Madeu.",StopFake.org,2021/03/24 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-vaccine-will-transform-human-into-gmo-and-walking-cellphone-fakes-from-kerry-madeu
"This article confirms what Professor Dolores Cahill, from Dublin, said, who estimates that at least 30% of vaccinees will die in a few months from a cytokine storm (something like a peanut allergy), once the body has synthesized spike protein in large amounts !",Agência Lupa,2021/03/24 ,Brazil,FALSE,https://www.poynter.org/?ifcn_misinformation=this-article-confirms-what-professor-dolores-cahill-from-dublin-said-who-estimates-that-at-least-30-of-vaccinees-will-die-in-a-few-months-from-a-cytokine-storm-something-like-a-peanut-allergy-on
"Social media posts repeatedly misuse unverified data from the Vaccine Adverse Event Reporting System to falsely claim that COVID-19 vaccines are dangerous, and even lethal.",FactCheck.org,2021/03/23 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=social-media-posts-repeatedly-misuse-unverified-data-from-the-vaccine-adverse-event-reporting-system-to-falsely-claim-that-covid-19-vaccines-are-dangerous-and-even-lethal-2
Covid-19 vaccines are being trialed on people in the country,AFP,2021/03/23 ,Australia,FALSE,https://www.poynter.org/?ifcn_misinformation=covid-19-vaccines-are-being-trialed-on-people-in-the-country
“You can’t tell me they can (develop a safe vaccine) in eight to 10 months. Or a year. It takes more time than that.”,PolitiFact,2021/03/23 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=you-cant-tell-me-they-can-develop-a-safe-vaccine-in-eight-to-10-months-or-a-year-it-takes-more-time-than-that
Vaccinated people can’t be infected with the virus.,VoxCheck,2021/03/23 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=vaccinated-people-cant-be-infected-with-the-virus
"Instead of the announced vaccine, it is planned in Georgia to put a gene fragment of RNA molecule into people’s bodies that will definitely lead to human genome modification, infertility, cancers and other serious diseases in the near future. According to vaccine safety surveillance manual, it is better for a healthy man to freeze his sperm before being vaccinated to avoid the infertility problem in the future.",Myth Detector,2021/03/23 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=instead-of-the-announced-vaccine-it-is-planned-in-georgia-to-put-a-gene-fragment-of-rna-molecule-into-peoples-bodies-that-will-definitely-lead-to-human-genome-modification-infertility-cancers-and
"Social media posts repeatedly misuse unverified data from the Vaccine Adverse Event Reporting System to falsely claim that COVID-19 vaccines are dangerous, and even lethal.",FactCheck.org,2021/03/23 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=social-media-posts-repeatedly-misuse-unverified-data-from-the-vaccine-adverse-event-reporting-system-to-falsely-claim-that-covid-19-vaccines-are-dangerous-and-even-lethal
A protest was held against vaccination in Amsterdam.,Myth Detector,2021/03/23 ,"Georgia, Netherlands",FALSE,https://www.poynter.org/?ifcn_misinformation=a-protest-was-held-against-vaccination-in-amsterdam
Quarantine and vaccination against COVID-19 is a war against humanity and is a genocide.,VoxCheck,2021/03/23 ,Ukraine,FALSE,https://www.poynter.org/?ifcn_misinformation=quarantine-and-vaccination-against-covid-19-is-a-war-against-humanity-and-is-a-genocide
"72%, 49% and 30% of severe effects were recorded following vaccinations with AstraZeneca, Moderna and Pfizer respectively.",Myth Detector,2021/03/23 ,Georgia,FALSE,https://www.poynter.org/?ifcn_misinformation=72-49-and-30-of-severe-effects-were-recorded-following-vaccinations-with-astrazeneca-moderna-and-pfizer-respectively
