,Domain,BF,FC,MBFC,MBFC factual,PF,WI,Site Rank,✓s,Wiki,Name
1,100percentfedup.com,,,FN,L,,,101963,,,100 Percent Fed Up
2,10news.one,,,FN,L,,,2688331,,,10News.one
3,12minutos.com,1,,FN,L,,,330294,,,12minutos.com
4,21stcenturywire.com,,,CP,M,,,131699,,,21st Century Wire
5,24aktuelles.com,1,,,,,,1138388,,,Erfinde deine eigenen Witz
6,369news.net,,,CP,M,,,1810968,,,369 News
7,79days.news,,,CP,VL,,,75838,,,Banned.Video
8,911truth.org,,,CP,L,,,900437,,,911Truth.org
9,a-news24.com,,,,,fake-news,,7351803,,,A news24
10,aapsonline.org,,,FN,L,,,266505,,W,Association of American Physicians and Surgeons
11,abcbusinessnews.com,,,FN,M,,,20000000,,,Experience Awareness (AbcBusinessNews.com)
12,abovetopsecret.com,,,CP,L,,,25965,,,Above Top Secret
13,acpeds.org,,,FN,M,,,397145,,W,American College of Pediatricians
14,activistpost.com,,,CP,L,,,65871,,,Activist Post
15,actualite.co,1,,,,,,456065,,,Fais une blague et piège tes amis!
16,adflegal.org,,,FN,L,,,235690,,W,Alliance Defending Freedom
17,adobochronicles.com,1,,S,,,,924833,,,Adobo Chronicles
18,ae911truth.org,,,CP,M,,,218567,,W,Architects & Engineers for 9/11 Truth
19,afa.net,,,FN,L,,,258741,,W,American Family Association
20,aim4truth.org,,,CP,M,,,199732,,,American Intelligence Media
21,albawaba.com,,,FN,M,,,33631,,W,Al Bawaba
22,alexanderhiggins.com,,,CP,M,,,6355919,,,Higgins News Network
23,allianceforadvancedhealth.com,,,CP,M,,,690779,,,Alliance for Advanced Health
24,allnewspipeline.com,,,FN,L,,,119886,,,All News Pipeline
25,alphanewsmn.com,,,FN,L,,,316986,,,Alpha News
26,alt-market.com,,,CP,M,,,243083,,,Alt-Market
27,alternativenews.com,,,CP,L,,,2828101,,,AlternativeNews.com
28,althealthworks.com,,,CP,L,,,411488,,,AltHealth Works
29,america.cgtn.com,,,FN,M,,,15296,,W,China Global Television Network
30,americanactionnews.com,,,FN,M,,,206202,,,American Action News
31,americandigitalnews.com,,,CP,M,,,1324818,,,American Digital News
32,americanfreepress.net,,,CP,L,,,460516,,W,American Free Press
33,americanjournalreview.com,,1,FN,L,,,322527,,,American Journal Review
34,americanlookout.com,,,FN,L,,,399717,,,American Lookout
35,americanpatriotdaily.com,,,FN,M,,,158425,,,American Patriot Daily
36,americanpeopledaily.com,,,FN,L,,,678656,,,American People Daily
37,americanprinciplesproject.org,,,FN,L,,,7206620,,W,American Principles Project
38,americansfortruth.com,,,FN,VL,,,3649691,,W,Americans for Truth about Homosexuality
39,americanthinker.com,,,FN,L,,,15496,,W,American Thinker
40,americantruthtoday.com,,,FN,L,,,546805,,,American Truth Today
41,americasfreedomfighters.com,,1,FN,VL,,,768287,,,Americas Freedom Fighters
42,amren.com,,,FN,L,,,65466,,W,American Renaissance Magazine
43,amtvmedia.com,,,CP,L,,,1000462,,,Alternative Media Television (AMTV)
44,analyzingamerica.org,,,FN,M,,,83911,,,Analyzing America
45,ancient-code.com,,,CP,M,,,62611,,,Ancient Code
46,ancient-origins.net,,,CP,M,,,24718,,,Ancient Origins
47,anh-usa.org,,,CP,M,,,1006389,,W,Alliance for Natural Health (ANH-USA)
48,anonews.co,,,FN,M,,,113649,,,Anonymous News
49,anonhq.com,,,CP,VL,,,173716,,,We are Anonymous
50,apost.com,,,CP,M,,,37273,,,Apost.com
51,arabnews.com,,,FN,M,,,8905,,,Arab News
52,archaeology-world.com,,,FN,M,,,759769,,,Archaeology World
53,asia-pacificresearch.com,,,CP,M,,,1270568,,,Asia-Pacific Research
54,assassinationscience.com,,,CP,L,,,4276349,,,Assassination Science
55,auburntimes.com,,,FN,M,,,20000000,,,Auburn Times
56,australiannationalreview.com,,,CP,L,,,1716654,,,Australian National Review
57,autismspeaks.org,,,CP,M,,,54894,,,Autism Speaks
58,avoiceformen.com,,,FN,L,,,214865,,W,A Voice for Men
59,awarenessact.com,,,CP,L,some-fake,,55285,,,Awareness Act
60,awm.com,,,FN,M,,,175711,,,American Web Media
